id,user_id,cuisine,title,description
"10000000-0000-0000-0000-000000000001","550e8400-e29b-41d4-a716-446655440000","Italian","Mushroom Risotto","Creamy risotto with mushrooms and parmesan cheese"
"10000000-0000-0000-0000-000000000002","550e8400-e29b-41d4-a716-446655440001","Moroccan","Lamb Tagine","Moroccan stew with lamb, apricots, and almonds"
"10000000-0000-0000-0000-000000000003","550e8400-e29b-41d4-a716-446655440002","Asian","Tofu Stir Fry","Stir-fried tofu with mixed vegetables and soy sauce"
"10000000-0000-0000-0000-000000000004","550e8400-e29b-41d4-a716-446655440003","American","Pumpkin Soup","Smooth pumpkin soup with a hint of nutmeg"
"10000000-0000-0000-0000-000000000005","550e8400-e29b-41d4-a716-446655440004","British","Fish Pie","Baked pie with white fish, peas, and mashed potatoes"
"10000000-0000-0000-0000-000000000006","550e8400-e29b-41d4-a716-446655440005","Asian","Egg Fried Rice","Rice stir-fried with eggs, peas, and carrots"
"10000000-0000-0000-0000-000000000007","550e8400-e29b-41d4-a716-446655440006","Middle Eastern","Falafel Wrap","Chickpea falafel in pita with tahini sauce"
"10000000-0000-0000-0000-000000000008","550e8400-e29b-41d4-a716-446655440007","Italian","Pesto Pasta","Pasta tossed with basil pesto and pine nuts"
"10000000-0000-0000-0000-000000000009","550e8400-e29b-41d4-a716-446655440008","Mexican","Chicken Fajitas","Sautéed chicken with peppers and onions in tortillas"
"10000000-0000-0000-0000-000000000010","550e8400-e29b-41d4-a716-446655440009","Indian","Vegetable Samosas","Crispy pastry filled with spiced vegetables"
"10000000-0000-0000-0000-000000000011","550e8400-e29b-41d4-a716-446655440010","Mediterranean","Quinoa Salad","Healthy salad with quinoa, cherry tomatoes, and feta cheese"
"10000000-0000-0000-0000-000000000012","550e8400-e29b-41d4-a716-446655440011","American","BBQ Chicken Pizza","Pizza topped with BBQ chicken, onions, and cilantro"
"10000000-0000-0000-0000-000000000013","550e8400-e29b-41d4-a716-446655440012","Spanish","Seafood Paella","Spanish rice dish with shrimp, mussels, and saffron"
"10000000-0000-0000-0000-000000000014","550e8400-e29b-41d4-a716-446655440013","Indian","Eggplant Curry","Indian-style curry with eggplant and spices"
"10000000-0000-0000-0000-000000000015","550e8400-e29b-41d4-a716-446655440014","American","Turkey Chili","Lean turkey chili with beans and peppers"
"10000000-0000-0000-0000-000000000016","550e8400-e29b-41d4-a716-446655440015","Italian","Stuffed Zucchini","Zucchini boats filled with rice and vegetables"
"10000000-0000-0000-0000-000000000017","550e8400-e29b-41d4-a716-446655440016","Japanese","Salmon Teriyaki","Grilled salmon glazed with teriyaki sauce"
"10000000-0000-0000-0000-000000000018","550e8400-e29b-41d4-a716-446655440017","Italian","Vegetable Lasagna","Lasagna layered with vegetables and cheese"
"10000000-0000-0000-0000-000000000019","550e8400-e29b-41d4-a716-446655440018","Italian","Chicken Parmesan","Breaded chicken breast with marinara and cheese"
"10000000-0000-0000-0000-000000000020","550e8400-e29b-41d4-a716-446655440019","Mexican","Beef Enchiladas","Tortillas filled with beef and topped with enchilada sauce"
"20000000-0000-0000-0000-000000000001","550e8400-e29b-41d4-a716-446655440000","American","Sourdough Bread","Crusty sourdough bread with a tangy flavor"
"20000000-0000-0000-0000-000000000002","550e8400-e29b-41d4-a716-446655440001","French","Baguette","Classic French baguette with a crisp crust"
"20000000-0000-0000-0000-000000000003","550e8400-e29b-41d4-a716-446655440002","European","Rye Bread","Dense rye bread with caraway seeds"
"20000000-0000-0000-0000-000000000004","550e8400-e29b-41d4-a716-446655440003","Italian","Focaccia","Italian flatbread topped with olive oil and herbs"
"20000000-0000-0000-0000-000000000005","550e8400-e29b-41d4-a716-446655440004","Italian","Ciabatta","Rustic Italian bread with an open crumb"
"20000000-0000-0000-0000-000000000006","550e8400-e29b-41d4-a716-446655440005","French","Brioche","Rich, buttery French bread with a tender crumb"
"20000000-0000-0000-0000-000000000007","550e8400-e29b-41d4-a716-446655440006","Jewish","Challah","Sweet braided bread, traditional for Jewish holidays"
"20000000-0000-0000-0000-000000000008","550e8400-e29b-41d4-a716-446655440007","Indian","Naan","Soft, pillowy Indian flatbread baked in a tandoor"
"20000000-0000-0000-0000-000000000009","550e8400-e29b-41d4-a716-446655440008","Middle Eastern","Pita Bread","Round Middle Eastern flatbread with a pocket"
"20000000-0000-0000-0000-000000000010","550e8400-e29b-41d4-a716-446655440009","American","Cornbread","Moist, crumbly bread made with cornmeal"
"30000000-0000-0000-0000-000000000101","550e8400-e29b-41d4-a716-446655440001","American","Grilled Salmon","Salmon fillet grilled with lemon and dill"
"30000000-0000-0000-0000-000000000102","550e8400-e29b-41d4-a716-446655440002","British","Fish and Chips","Battered white fish fried and served with fries"
"30000000-0000-0000-0000-000000000103","550e8400-e29b-41d4-a716-446655440003","American","Tuna Casserole","Baked casserole with tuna, noodles, and peas"
"30000000-0000-0000-0000-000000000104","550e8400-e29b-41d4-a716-446655440004","Japanese","Miso Glazed Cod","Cod fillet baked with a sweet miso glaze"
"30000000-0000-0000-0000-000000000105","550e8400-e29b-41d4-a716-446655440005","American","Seafood Stew","Hearty stew with shrimp, mussels, and white fish"
